,UserID,basket_icon_click,basket_add_list,basket_add_detail,sort_by,image_picker,account_page_click,promo_banner_click,detail_wishlist_add,list_size_dropdown,closed_minibasket_click,checked_delivery_detail,checked_returns_detail,sign_in,saw_checkout,saw_sizecharts,saw_delivery,saw_account_upgrade,saw_homepage,device_mobile,device_computer,device_tablet,returning_user,loc_uk,ordered
375768,2a8d-271e9821-2a8d-478d-ac9a-645828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
237063,5585-7a187b5c-5585-4908-922c-541840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
155617,d01b-a741178d-d01b-4b95-b745-265005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
416058,4875-1a73cd52-4875-4080-9645-872826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
252470,922a-74c4d079-922a-4653-a1b7-348886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
31329,9215-64777a6a-9215-b180-8570-582873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
193267,777d-997075bb-777d-4da6-9a1e-10789,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
71808,cc39-d33b2337-cc39-4587-a747-268564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
151975,1ea9-ac3a7c75-1ea9-b1c7-b0c8-521131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81448,1419-d8a1e779-1419-41b6-8c82-795707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
126428,db14-b9639cab-db14-41b0-8c5c-936961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
271676,77av-639c0dbc-77av-4c53-bc75-646477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
30458,4959-64006b73-4959-48a8-82ac-105554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
61504,7775-db71a575-7775-46ab-9cc0-541675,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
448473,67c7-03183636-67c7-43d9-b647-242805,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
145598,0952-a8983132-0952-4237-bd76-908796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
429081,1e70-1427a7cb-1e70-4b62-8b7d-734202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
115669,78c3-c178bd63-78c3-4517-8bc8-136282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
154164,968d-ad7365a4-968d-4b87-a550-865192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
57990,4a04-d97cd6ad-4a04-4a9d-8a1b-627154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
395330,c71e-1d46548a-c71e-4654-a982-98094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
211884,cd62-87d17776-cd62-4700-827b-384767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
100341,561d-c7591655-561d-4a70-8676-520379,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0
238952,7d11-7b1dd276-7d11-47b0-a714-171964,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
137370,d5b1-b2011747-d5b1-4a23-99c7-507617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
209149,1ed3-86507376-1ed3-406a-851a-82437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
125079,30c8-b9311d1c-30c8-4746-ba61-496755,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0
22565,7426-76917777-7426-49c5-8070-35002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
203366,5a67-91230a35-5a67-47a5-8277-230414,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
159718,3002-a285c317-3002-4320-a38c-156702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
385270,8034-25b68355-8034-4c74-8d8d-553848,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0
336033,6234-422010b7-6234-4587-8c16-39620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10462,6496-1ec54122-6496-4641-a35b-842469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
188754,1871-967416b9-1871-4306-b073-938048,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
251003,7584-7376d1ba-7584-4257-bbb0-937042,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
389817,a670-2850b7b7-a670-412a-ad3a-398745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
217917,7c65-8b4c1779-7c65-4c70-8706-564555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
273192,62a9-647b7658-62a9-4c9a-b047-902866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
91467,d436-d0541e1b-d436-4ba3-bd55-298085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
321293,6922-47d3797d-6922-4397-9d84-127445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
451115,1aa7-04927b65-1aa7-4761-8437-709575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
